Date,9/22/2021,,,Site,Maryville,,Staff,"M. Hodges, H. Kight-Somers, C. Sergent, K. Swain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plot,Quadrat ,Year,Stem Count,PlantHt1,PlantHt2,PlantHt3,PlantHt4,PlantHt5,PlantHt6,Biomass1,Biomass2,Biomass3,Biomass4,Biomass5,Biomass6,Biomass_total,Snails,Crab Burrows,Guekensia (Presence/Absence),QA/QC-Yes/No,Northing,Easting,Elevation,Latitude (Global),Longitude (Global),Geoid Height,Ellipsoid Height (Global),GNSS Position Solution.PDOP,GNSS Position Solution.HDOP,GNSS Position Solution.VDOP,GNSS Position Solution.RMS,GNSS Position Solution.H. Precision,GNSS Position Solution.V. Precision,GNSS Position Solution.Satellites,GNSS Position Solution.Epochs,GNSS Position Solution.Antenna Height,GNSS Position Solution.Start Time,GNSS Position Solution.End Time
2020A,8,Planted - 2020,21,60,51,27,66,15,39,3.288,2.4735,0.8559,3.894,0.3495,1.5639,173.9,1,1,P,Yes,3629177.313,595071.071,0.373,32.79644,-79.98463,-33.075,-32.702,2.048,0.837,1.869,0.003,0.017,0.03,12,20,2,9/22/2021 15:56,9/22/2021 15:57
2020A,9,Planted - 2020,81,57,86,25,44,63.5,82,3.0039,6.278,0.7575,1.9184,3.635375,5.7564,1152.9,6,0,P,Yes,3629172.053,595063.084,0.409,32.7964,-79.98471,-33.075,-32.666,1.461,0.701,1.282,0.004,0.016,0.023,15,20,2,9/22/2021 16:20,9/22/2021 16:21
2019A,1,Planted - 2019,67,94,154,91,50,68,115,7.3884,18.5724,6.9615,2.39,4.1072,10.7295,2240,29,6,A,Yes,3629171.302,595074.648,0.343,32.79639,-79.98459,-33.075,-32.732,1.445,0.671,1.28,0.003,0.013,0.019,16,20,2,9/22/2021 16:37,9/22/2021 16:37
2019A,10,Planted - 2019,53,151,102,55,176,142,86,17.8935,8.5884,2.8215,23.936,15.9324,6.278,2665.9,30,2,P,Yes,3629171.642,595075.186,0.356,32.79639,-79.98458,-33.075,-32.719,1.342,0.636,1.182,0.003,0.012,0.017,17,20,2,9/22/2021 16:58,9/22/2021 16:58
2019A,2,Planted - 2019,57,126,106,43,95,73,99,12.726,9.222,1.8447,7.5335,4.6647,8.1279,1676.5,17,14,A,Yes,3629170.126,595075.709,0.303,32.79638,-79.98458,-33.075,-32.772,1.446,0.67,1.282,0.003,0.013,0.019,16,20,2,9/22/2021 16:38,9/22/2021 16:38
2019A,3,Planted - 2019,39,109,72,99,78,25,42,9.7119,4.5504,8.1279,5.2572,0.7575,1.7724,784.6,1,4,P,Yes,3629169.673,595076.803,0.324,32.79637,-79.98457,-33.075,-32.751,1.48,0.68,1.315,0.003,0.017,0.026,15,20,2,9/22/2021 16:42,9/22/2021 16:42
2019A,4,Planted - 2019,46,148,126,111,109,81,102,17.2272,12.726,10.0455,9.7119,5.6295,8.5884,1960.5,10,1,A,Yes,3629169.426,595077.922,0.338,32.79637,-79.98456,-33.075,-32.737,1.502,0.716,1.321,0.002,0.013,0.02,16,20,2,9/22/2021 16:44,9/22/2021 16:45
2019A,5,Planted - 2019,49,111,84,96,71,91,69,10.0455,6.0144,7.68,4.4375,6.9615,4.2159,1285.6,8,2,P,Yes,3629170.839,595079.09,0.419,32.79638,-79.98454,-33.075,-32.656,1.468,0.676,1.303,0.003,0.014,0.021,16,20,2,9/22/2021 16:47,9/22/2021 16:47
2019A,6,Planted - 2019,35,99,134,137,103,114,76,8.1279,14.2844,14.8919,8.7447,10.5564,5.016,1437.8,36,1,P,Yes,3629171.079,595077.61,0.384,32.79639,-79.98456,-33.075,-32.691,1.462,0.675,1.297,0.003,0.013,0.02,15,20,2,9/22/2021 16:49,9/22/2021 16:49
2019A,7,Planted - 2019,67,169,158,80,57,84,61,22.1559,19.4972,5.504,3.0039,6.0144,3.3855,2660.4,33,3,P,Yes,3629172.421,595078.435,0.419,32.7964,-79.98455,-33.075,-32.656,1.452,0.674,1.286,0.003,0.012,0.018,16,20,2,9/22/2021 16:51,9/22/2021 16:51
2019A,8,Planted - 2019,56,89,43,69,101,61,34,6.6839,1.8447,4.2159,8.4335,3.3855,1.2444,963.5,49,3,P,Yes,3629171.711,595076.067,0.365,32.79639,-79.98458,-33.075,-32.71,1.289,0.608,1.137,0.003,0.012,0.017,17,20,2,9/22/2021 16:54,9/22/2021 16:55
2019A,9,Planted - 2019,57,93,150,82,91,49,43,7.2447,17.67,5.7564,6.9615,2.3079,1.8447,1587.8,29,2,P,Yes,3629173.082,595075.309,0.359,32.7964,-79.98458,-33.075,-32.717,1.286,0.608,1.133,0.003,0.012,0.017,17,20,2,9/22/2021 16:57,9/22/2021 16:57
2021B,1,Planted - 2021,53,57,41,31.5,39,28,43,3.0039,1.7015,1.097775,1.5639,0.9072,1.8447,357.5,0,6,P,Yes,3629186.306,595058.995,0.487,32.79653,-79.98476,-33.075,-32.588,1.448,0.72,1.256,0.004,0.016,0.022,14,20,2,9/22/2021 15:40,9/22/2021 15:41
2021B,10,Planted - 2021,48,70,59.5,58.5,44,29,39,4.326,3.239775,3.144375,1.9184,0.9599,1.5639,484.9,0,1,P,Yes,3629175.097,595054.643,0.452,32.79642,-79.9848,-33.075,-32.623,1.746,0.75,1.577,0.003,0.017,0.028,13,20,2,9/22/2021 16:11,9/22/2021 16:11
2021B,11,Planted - 2021,25,56,27,47,30,28,43,2.912,0.8559,2.1479,1.014,0.9072,1.8447,161.4,1,0,A,Yes,3629176.432,595053.105,0.442,32.79644,-79.98482,-33.074,-32.633,1.754,0.751,1.585,0.003,0.017,0.028,13,20,2,9/22/2021 16:13,9/22/2021 16:13
2021B,12,Planted - 2021,24,32,37,26,26,17,35,1.1264,1.4319,0.806,0.806,0.4199,1.3055,94.3,0,0,P,Yes,3629177.191,595051.459,0.45,32.79644,-79.98484,-33.074,-32.624,1.756,0.752,1.587,0.004,0.016,0.028,13,20,2,9/22/2021 16:14,9/22/2021 16:14
2021B,2,Planted - 2021,25,43,31,24,46,14,27,1.8447,1.0695,0.7104,2.07,0.3164,0.8559,114.4,0,2,P,Yes,3629185.015,595060.309,0.497,32.79651,-79.98474,-33.075,-32.578,1.445,0.719,1.253,0.004,0.016,0.023,14,20,2,9/22/2021 15:41,9/22/2021 15:42
2021B,3,Planted - 2021,47,52,34,47,21,54,16,2.5584,1.2444,2.1479,0.5775,2.7324,0.384,302.2,1,3,A,Yes,3629183.706,595061.825,0.485,32.7965,-79.98473,-33.075,-32.59,1.436,0.719,1.243,0.003,0.017,0.023,14,20,2,9/22/2021 15:44,9/22/2021 15:45
2021B,4,Planted - 2021,21,55,46,21,10,44,16,2.8215,2.07,0.5775,0.198,1.9184,0.384,111.6,0,3,P,Yes,3629182.879,595062.894,0.472,32.79649,-79.98472,-33.075,-32.603,1.824,0.783,1.647,0.003,0.015,0.025,13,20,2,9/22/2021 15:46,9/22/2021 15:46
2021B,5,Planted - 2021,30,66,25,46,29,7,54,3.894,0.7575,2.07,0.9599,0.1239,2.7324,210.8,3,1,P,Yes,3629176.13,595057.204,0.382,32.79643,-79.98478,-33.075,-32.693,1.965,0.844,1.775,0.003,0.018,0.03,12,20,2,9/22/2021 16:03,9/22/2021 16:04
2021B,6,Planted - 2021,29,38,40,20.5,51,45,30,1.4972,1.632,0.556575,2.4735,1.9935,1.014,177.2,0,0,A,Yes,3629177.208,595055.802,0.45,32.79644,-79.98479,-33.075,-32.625,4.186,0.989,4.067,0.002,0.017,0.033,12,20,2,9/22/2021 16:04,9/22/2021 16:05
2021B,7,Planted - 2021,10,34,21,23,35,18,40,1.2444,0.5775,0.6647,1.3055,0.4572,1.632,39.2,0,0,A,Yes,3629178.243,595054.732,0.447,32.79645,-79.9848,-33.075,-32.627,1.722,0.749,1.551,0.004,0.018,0.029,13,20,2,9/22/2021 16:06,9/22/2021 16:07
2021B,8,Planted - 2021,30,25,45,39,23.5,26,28,0.7575,1.9935,1.5639,0.687375,0.806,0.9072,134.3,0,2,P,Yes,3629179.487,595053.318,0.468,32.79646,-79.98482,-33.074,-32.607,2.332,0.911,2.147,0.002,0.018,0.029,13,20,2,9/22/2021 16:08,9/22/2021 16:08
2021B,9,Planted - 2021,13,30,9,22,28,30,8,1.014,0.1719,0.6204,0.9072,1.014,0.1472,33.6,2,1,P,Yes,3629174.44,595055.967,0.472,32.79642,-79.98479,-33.075,-32.602,1.74,0.75,1.57,0.003,0.017,0.028,13,20,2,9/22/2021 16:09,9/22/2021 16:09
Natural 1,1,Reference - A,28,116,21.5,89.5,56,53.75,67,10.904,0.598775,6.752775,2.912,2.71034375,3.9999,520.4,35,0,P,Yes,3629177.226,595081.329,0.417,32.79644,-79.98452,-33.075,-32.658,1.297,0.7,1.091,0.004,0.016,0.02,15,20,2,9/22/2021 14:14,9/22/2021 14:14
Natural 1,10,Reference - A,42,91,83,67,68,57,39,6.9615,5.8847,3.9999,4.1072,3.0039,1.5639,714.6,16,2,P,Yes,3629175.331,595080.003,0.45,32.79642,-79.98453,-33.075,-32.626,1.44,0.767,1.218,0.003,0.013,0.016,15,20,2,9/22/2021 14:43,9/22/2021 14:44
Natural 1,11,Reference - A,27,84,75,49,27,37,56.5,6.0144,4.8975,2.3079,0.8559,1.4319,2.957775,332.4,38,1,P,Yes,3629176.243,595078.741,0.441,32.79643,-79.98455,-33.075,-32.634,1.367,0.703,1.172,0.003,0.013,0.018,15,20,2,9/22/2021 14:46,9/22/2021 14:47
Natural 1,12,Reference - A,39,136,101,57,69,60,19,14.688,8.4335,3.0039,4.2159,3.288,0.4959,887.3,53,2,P,Yes,3629177.027,595077.386,0.406,32.79644,-79.98456,-33.075,-32.669,1.371,0.703,1.177,0.003,0.013,0.018,15,20,2,9/22/2021 14:47,9/22/2021 14:48
Natural 1,2,Reference - A,38,126,50,54,94,58,28,12.726,2.39,2.7324,7.3884,3.0972,0.9072,740.8,52,0,P,Yes,3629177.783,595079.26,0.453,32.79645,-79.98454,-33.075,-32.623,1.21,0.668,1.009,0.003,0.015,0.018,16,20,2,9/22/2021 14:19,9/22/2021 14:20
Natural 1,3,Reference - A,41,139,69,78,75,84,83.5,15.3039,4.2159,5.2572,4.8975,6.0144,5.949375,1138.1,37,5,P,Yes,3629178.348,595077.93,0.417,32.79645,-79.98455,-33.075,-32.658,1.259,0.697,1.048,0.004,0.014,0.016,16,20,2,9/22/2021 14:24,9/22/2021 14:24
Natural 1,4,Reference - A,33,112,76,90,58,60,119,10.2144,5.016,6.822,3.0972,3.288,11.4359,877.2,53,6,P,Yes,3629178.98,595083.076,0.368,32.79646,-79.9845,-33.075,-32.707,1.139,0.624,0.953,0.003,0.013,0.016,17,20,2,9/22/2021 14:32,9/22/2021 14:33
Natural 1,5,Reference - A,47,163,90,74,89,24,66,20.6847,6.822,4.7804,6.6839,0.7104,3.894,1365.4,33,2,P,Yes,3629178.257,595078.086,0.429,32.79645,-79.98455,-33.075,-32.646,1.183,0.656,0.985,0.003,0.013,0.016,16,20,2,9/22/2021 14:33,9/22/2021 14:34
Natural 1,6,Reference - A,44,142,85,63,51,13,85,15.9324,6.1455,3.5847,2.4735,0.2847,6.1455,1013.9,77,4,P,Yes,3629179.701,595081.494,0.418,32.79646,-79.98452,-33.075,-32.658,1.229,0.694,1.015,0.003,0.013,0.015,16,20,2,9/22/2021 14:34,9/22/2021 14:34
Natural 1,7,Reference - A,31,94,55.5,81,77,30.5,100,7.3884,2.866575,5.6295,5.1359,1.041575,8.28,627.1,14,10,P,Yes,3629180.168,595080.289,0.412,32.79647,-79.98453,-33.075,-32.663,1.231,0.694,1.017,0.003,0.014,0.016,16,20,2,9/22/2021 14:36,9/22/2021 14:37
Natural 1,8,Reference - A,34,111,77,17,107,42,78,10.0455,5.1359,0.4199,9.3839,1.7724,5.2572,725.7,53,9,P,Yes,3629180.512,595079.005,0.396,32.79647,-79.98454,-33.075,-32.679,1.232,0.694,1.017,0.003,0.014,0.016,16,20,2,9/22/2021 14:38,9/22/2021 14:38
Natural 1,9,Reference - A,41,69,91,98,31.5,32,71,4.2159,6.9615,7.9772,1.097775,1.1264,4.4375,705.6,23,1,P,Yes,3629174.361,595081.103,0.402,32.79642,-79.98452,-33.075,-32.673,1.439,0.767,1.217,0.003,0.015,0.018,14,20,2,9/22/2021 14:43,9/22/2021 14:43
Natural B,1,Reference - B,73,109,40,68,51,63,34,9.7119,1.632,4.1072,2.4735,3.5847,1.2444,1107.3,24,NA,P,Yes,3629203.662,595047.002,0.579,32.79668,-79.98488,-33.074,-32.495,1.382,0.702,1.19,0.003,0.013,0.018,16,20,2,9/22/2021 15:14,9/22/2021 15:14
Natural B,10,Reference - B,43,31,61,39,34,58,47,1.0695,3.3855,1.5639,1.2444,3.0972,2.1479,358.6,16,0,P,Yes,3629198.742,595040.406,0.589,32.79664,-79.98495,-33.074,-32.485,1.38,0.707,1.185,0.004,0.015,0.02,15,20,2,9/22/2021 15:32,9/22/2021 15:33
Natural B,11,Reference - B,55,73,68,37,56,47,44,4.6647,4.1072,1.4319,2.912,2.1479,1.9184,630,33,4,P,Yes,3629199.894,595039.462,0.603,32.79665,-79.98496,-33.074,-32.471,1.378,0.707,1.183,0.004,0.015,0.02,15,20,2,9/22/2021 15:34,9/22/2021 15:34
Natural B,12,Reference - B,71,72,68,65,44,56,59.5,4.5504,4.1072,3.7895,1.9184,2.912,3.239775,971.2,36,0,P,Yes,3629201.242,595038.45,0.632,32.79666,-79.98497,-33.074,-32.442,1.375,0.707,1.18,0.004,0.016,0.021,15,20,2,9/22/2021 15:35,9/22/2021 15:36
Natural B,2,Reference - B,71,79,51,69,39,80.5,75.5,5.3799,2.4735,4.2159,1.5639,5.566575,4.956575,1143.4,22,1,P,Yes,3629204.853,595045.769,0.603,32.79669,-79.9849,-33.074,-32.472,1.299,0.648,1.126,0.003,0.013,0.018,16,20,2,9/22/2021 15:15,9/22/2021 15:15
Natural B,3,Reference - B,69,82,67,64,37,68,34,5.7564,3.9999,3.6864,1.4319,4.1072,1.2444,930.4,44,5,P,Yes,3629205.644,595044.243,0.605,32.7967,-79.98491,-33.074,-32.469,1.298,0.648,1.125,0.003,0.014,0.019,16,20,2,9/22/2021 15:20,9/22/2021 15:20
Natural B,4,Reference - B,89,80.5,65,69,58.5,49.5,55,5.566575,3.7895,4.2159,3.144375,2.348775,2.8215,1298.6,43,0,P,Yes,3629206.644,595042.97,0.621,32.79671,-79.98493,-33.074,-32.453,1.297,0.648,1.124,0.003,0.013,0.018,16,20,2,9/22/2021 15:20,9/22/2021 15:20
Natural B,5,Reference - B,71,60,62,52,61,24,36,3.288,3.4844,2.5584,3.3855,0.7104,1.368,700.3,21,4,P,Yes,3629199.737,595043.671,0.57,32.79665,-79.98492,-33.074,-32.504,1.291,0.648,1.117,0.004,0.014,0.02,16,20,2,9/22/2021 15:24,9/22/2021 15:25
Natural B,6,Reference - B,85,68.5,69,68.5,54,59,53,4.161375,4.2159,4.161375,2.7324,3.1919,2.6447,1196.1,49,2,P,Yes,3629200.966,595042.372,0.601,32.79666,-79.98493,-33.074,-32.473,1.29,0.648,1.115,0.003,0.014,0.019,16,20,2,9/22/2021 15:25,9/22/2021 15:25
Natural B,7,Reference - B,77,67,62,41,62.5,53.5,47,3.9999,3.4844,1.7015,3.534375,2.688375,2.1479,901.2,44,0,P,Yes,3629202.099,595041.475,0.621,32.79667,-79.98494,-33.074,-32.453,1.381,0.706,1.187,0.003,0.015,0.02,15,20,2,9/22/2021 15:28,9/22/2021 15:29
Natural B,8,Reference - B,71,78,61,43,69,51,49,5.2572,3.3855,1.8447,4.2159,2.4735,2.3079,922.3,44,3,P,Yes,3629203.008,595040.144,0.638,32.79668,-79.98496,-33.074,-32.436,1.381,0.706,1.187,0.003,0.014,0.019,15,20,2,9/22/2021 15:29,9/22/2021 15:29
Natural B,9,Reference - B,78,80,63,71,65,64,54,5.504,3.5847,4.4375,3.7895,3.6864,2.7324,1234.2,28,1,P,Yes,3629197.592,595041.658,0.585,32.79663,-79.98494,-33.074,-32.489,1.38,0.707,1.185,0.003,0.015,0.02,15,20,2,9/22/2021 15:32,9/22/2021 15:32
