Transect,Date,Lat,Lon,GPS_UTM_E,GPS_UTM_N,RTK_name,RTK_N,RTK_E,RTK_elevation,RTK_Lon,RTK_Lat,v.precision,Density_shoots,Height_1,Height_2,Height_3,Height_4,Height_5,Height_6,biomass1,biomass2,biomass3,biomass4,biomass5,biomass6,biomass_total,Crab Burrows,Snails,Mussels,Sed_Eh,Sed_pH,Sed_Temp,Additional_Info
Veg 23,5/28/2021,32.79827,-79.98473,595060,3629380,cc1d,3629379,595062,0.76,-79.98470452,32.79826309,0.019,23,84,89,87,58,80,NA,6.0144,6.6839,6.4119,3.0972,5.504,NA,509.88976,50,80,NA,NA,NA,NA,
Veg 24,5/28/2021,32.7982,-79.98468,595064,3629372,cc1e,3629371,595068,0.724,-79.98464127,32.79819042,0.02,34,42,51,40,39,39,NA,1.7724,2.4735,1.632,1.5639,1.5639,NA,244.95504,25,92,NA,NA,NA,NA,
Veg 25,5/28/2021,32.79812,-79.98459,595073,3629363,cc1f,3629363,595074,0.769,-79.98457801,32.79811775,0.016,47,21,32,42,30,16,NA,0.5775,1.1264,1.7724,1.014,0.384,NA,183.27368,52,60,NA,NA,NA,NA,
Veg 26,5/28/2021,32.79805,-79.98454,595078,3629356,cc1g,3629356,595081,0.76,-79.98450398,32.798054,0.016,33,16,25,32,21,32,NA,0.384,0.7575,1.1264,0.5775,1.1264,NA,104.85552,27,37,NA,NA,NA,NA,
Veg 27,5/28/2021,32.79799,-79.98447,595084,3629349,cc1h,3629348,595087,0.788,-79.98444073,32.79798133,0.016,24,30,42,29,33,38,NA,1.014,1.7724,0.9599,1.1847,1.4972,NA,123.42144,32,32,NA,NA,NA,NA,
Veg 28,5/28/2021,32.79852,-79.98468,595064,3629408,cc2a,3629402,595065,0.735,-79.98467013,32.79847028,0.014,26,97,78,83,77,93,NA,7.8279,5.2572,5.8847,5.1359,7.2447,NA,652.08832,44,2,NA,NA,NA,NA,
Veg 29,5/28/2021,32.79849,-79.98457,595074,3629404,cc2b,3629400,595075,0.79,-79.98456354,32.79845137,0.018,26,77,71,62,65,89,NA,5.1359,4.4375,3.4844,3.7895,6.6839,NA,489.44896,34,15,NA,NA,NA,NA,
Veg 30,5/28/2021,32.79847,-79.98448,595083,3629402,cc2c,3629399,595085,0.626,-79.98445686,32.79844149,0.018,39,50,48,39,33,22,NA,2.39,2.2272,1.5639,1.1847,0.6204,NA,249.16944,23,16,NA,NA,NA,NA,
Veg 31,5/28/2021,32.79846,-79.98438,595092,3629401,cc2d,3629397,595095,0.613,-79.98435027,32.79842258,0.018,43,35,43,38,40,35,NA,1.3055,1.8447,1.4972,1.632,1.3055,NA,260.92056,3,19,NA,NA,NA,NA,
Veg 32,5/28/2021,32.79844,-79.98427,595102,3629399,cc2e,3629395,595104,0.636,-79.98425437,32.79840376,0.019,40,22,46,38,30,37,NA,0.6204,2.07,1.4972,1.014,1.4319,NA,212.272,3,23,NA,NA,NA,NA,
Veg 33,5/28/2021,32.79843,-79.98416,595113,3629398,cc2f,3629393,595114,0.597,-79.98414778,32.79838486,0.019,34,50,29,45,42,25,NA,2.39,0.9599,1.9935,1.7724,0.7575,NA,214.15376,0,25,NA,NA,NA,NA,
Veg 34,5/28/2021,32.79826,-79.98494,595040,3629378,cc3a,3629374,595041,0.742,-79.98492929,32.79821981,0.052,29,76,71,68,66,57,NA,5.016,4.4375,4.1072,3.894,3.0039,NA,474.63952,60,39,NA,NA,NA,NA,
Veg 35,5/28/2021,32.79822,-79.98505,595030,3629374,cc3b,3629372,595032,0.749,-79.98502561,32.79820255,0.018,16,55,70,75,68,76,NA,2.8215,4.326,4.8975,4.1072,5.016,NA,270.95296,42,20,NA,NA,NA,NA,
Veg 36,5/28/2021,32.7982,-79.98517,595018,3629372,cc3c,3629369,595021,0.684,-79.98514338,32.79817645,0.02,26,65,30,50,32,49,NA,3.7895,1.014,2.39,1.1264,2.3079,NA,221.05824,4,23,NA,NA,NA,NA,
Veg 37,5/28/2021,32.79816,-79.98527,595009,3629367,cc3d,3629365,595012,0.735,-79.9852399,32.79814115,0.034,27,54,55,37,46,50,NA,2.7324,2.8215,1.4319,2.07,2.39,NA,247.22928,56,44,NA,NA,NA,NA,
Veg 38,5/28/2021,32.79813,-79.98535,595002,3629364,cc3e,3629362,595003,0.712,-79.98533632,32.79811487,0.042,18,32,46,52,40,40,NA,1.1264,2.07,2.5584,1.632,1.632,NA,129.87072,15,34,NA,NA,NA,NA,
Veg 39,5/28/2021,32.79811,-79.98547,594990,3629361,cc3f,3629359,594993,0.797,-79.98544341,32.79808868,0.029,25,84,76,96,76,70,NA,6.0144,5.016,7.68,5.016,4.326,NA,561.048,16,95,NA,NA,NA,NA,
carrmarsh1,5/27/2021,32.79632,-79.98453,NA,NA,carrmarsh1,3629163,595080,0.26,-79.98453,32.79632,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
carrmarsh2,5/27/2021,32.79636,-79.98463,NA,NA,carrmarsh2,3629168,595071,0.376,-79.98463,32.79636,0.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
carrmarsh3,5/27/2021,32.79639,-79.98459,NA,NA,carrmarsh3,3629171,595075,0.317,-79.98459,32.79639,0.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
carrmarsh4,5/27/2021,32.79648,-79.98463,NA,NA,carrmarsh4,3629181,595071,0.445,-79.98463,32.79648,0.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
carrmarsh5,5/27/2021,32.79657,-79.98466,NA,NA,carrmarsh5,3629191,595068,0.45,-79.98466,32.79657,0.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
carrmarsh6,5/27/2021,32.79665,-79.9847,NA,NA,carrmarsh6,3629200,595064,0.488,-79.9847,32.79665,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
carrmarsh7,5/27/2021,32.79674,-79.98474,NA,NA,carrmarsh7,3629210,595060,0.53,-79.98474,32.79674,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
carrmarsh9,5/27/2021,32.79691,-79.98481,NA,NA,carrmarsh9,3629228,595053,0.676,-79.98481,32.79691,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
carrmarsh14,5/27/2021,32.79709,-79.98501,NA,NA,carrmarsh14,3629249,595035,0.722,-79.98501,32.79709,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
carrmarsh15,5/27/2021,32.79701,-79.98506,NA,NA,carrmarsh15,3629240,595030,0.692,-79.98506,32.79701,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
carrmarsh16,5/27/2021,32.79693,-79.98511,NA,NA,carrmarsh16,3629231,595025,0.654,-79.98511,32.79693,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
carrmarsh18,5/27/2021,32.79678,-79.98523,NA,NA,carrmarsh18,3629215,595014,0.697,-79.98523,32.79678,0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
carrmarsh19,5/27/2021,32.79672,-79.9853,NA,NA,carrmarsh19,3629207,595008,0.609,-79.9853,32.79672,0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
carrmarsh24,5/27/2021,32.79652,-79.98496,NA,NA,carrmarsh24,3629186,595040,0.581,-79.98496,32.79652,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
carrmarsh25,5/27/2021,32.79648,-79.98486,NA,NA,carrmarsh25,3629181,595049,0.512,-79.98486,32.79648,0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
carrmarsh26,5/27/2021,32.79643,-79.98478,NA,NA,carrmarsh26,3629176,595057,0.508,-79.98478,32.79643,0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
carrmarsh27,5/27/2021,32.79638,-79.98468,NA,NA,carrmarsh27,3629171,595066,0.431,-79.98468,32.79638,0.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
carrmarsh28,5/27/2021,32.79638,-79.98468,NA,NA,carrmarsh28,3629171,595066,0.433,-79.98468,32.79638,0.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
carrmarsh29,5/27/2021,32.79634,-79.98459,NA,NA,carrmarsh29,3629166,595075,0.423,-79.98459,32.79634,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
carrmarsh30,5/27/2021,32.796311,-79.98449,NA,NA,carrmarsh30,3629162,595084,0.287,-79.98449,32.79631,0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
otcr6,5/27/2021,32.79998,-79.97898,NA,NA,otcr6,3629574.322,595595.823,0.458,-79.97898,32.79998,0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
otcr7,5/27/2021,32.79998,-79.97898,NA,NA,otcr7,3629574.321,595595.832,0.459,-79.97898,32.79998,0.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
town1a,7/20/2021,32.80156,-79.9805,NA,NA,town1a,3629748.523,595451.721,0.532,32.80156,-79.9805,0.036,21,185.5,187.5,137.5,170.8,131,NA,26.461575,27.009375,14.994375,22.607088,13.6895,NA,1760.000138,NA,NA,NA,NA,NA,NA,
town1b,7/20/2021,32.80132,-79.98051,NA,NA,town1b,3629721.648,595451.518,0.613,32.80132,-79.98051,0.023,41,47,49,54.8,53.2,51,NA,2.1479,2.3079,2.803568,2.662128,2.4735,NA,406.5558688,NA,NA,NA,NA,NA,NA,
town1c,7/20/2021,32.80109,-79.98056,NA,NA,town1c,3629695.653,595446.961,0.606,32.80109,-79.98056,0.02,54,55.3,51.5,44,45,54,NA,2.848503,2.515775,1.9184,1.9935,2.7324,NA,518.7705696,NA,NA,NA,NA,NA,NA,
town1d,7/20/2021,32.80087,-79.9807,NA,NA,town1d,3629671.66,595433.947,0.657,32.80087,-79.9807,0.022,33,55,58.8,40.5,35,13,NA,2.8215,3.172848,1.666575,1.3055,0.2847,NA,244.2296472,NA,NA,NA,NA,NA,NA,
town1e,7/20/2021,32.80065,-79.98087,NA,NA,town1e,3629646.672,595418.487,0.667,32.80065,-79.98087,0.018,77,30,20,31.5,51,40,NA,1.014,0.536,1.097775,2.4735,1.632,NA,416.00174,NA,NA,NA,NA,NA,NA,
town1f,7/20/2021,32.80013,-79.98107,NA,NA,town1f,3629589.133,595400.016,0.547,32.80013,-79.98107,0.017,22,125,120,101,128,112,NA,12.5375,11.616,8.4335,13.1072,10.2144,NA,983.99136,NA,NA,NA,NA,NA,NA,
town1g,7/20/2021,32.80007,-79.98107,NA,NA,town1g,3629582.631,595400.246,-0.139,32.80007,-79.98107,0.017,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,small tidal creek
town1h,7/20/2021,32.79997,-79.98108,NA,NA,town1h,3629571.018,595399.643,0.62,32.79997,-79.98108,0.018,50,46,54.5,51,41,28,NA,2.07,2.776775,2.4735,1.7015,0.9072,NA,397.159,NA,NA,NA,NA,NA,NA,
town1i,7/20/2021,32.79964,-79.98092,NA,NA,town1i,3629534.793,595415.344,0.494,32.79964,-79.98092,0.021,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,
town1j,7/20/2021,32.79931,-79.98075,NA,NA,town1j,3629498.2,595431.446,0.587,32.79931,-79.98075,0.033,15,41,23.5,25,12.5,43,NA,1.7015,0.687375,0.7575,0.269375,1.8447,NA,63.1254,NA,NA,NA,NA,NA,NA,
town1k,7/20/2021,32.79905,-79.98069,NA,NA,town1k,3629469.958,595437.33,0.434,32.79905,-79.98069,0.025,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,
town1l,7/20/2021,32.79908,-79.981,NA,NA,town1l,3629472.529,595408.125,0.394,32.79908,-79.981,0.032,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,
town1m,7/20/2021,32.79902,-79.98128,NA,NA,town1m,3629466.099,595381.6,0.419,32.79902,-79.98128,0.027,47,66.5,50,47.5,56.5,36,NA,3.946775,2.39,2.187375,2.957775,1.368,NA,483.15718,NA,NA,NA,NA,NA,NA,
town1n,7/20/2021,32.79886,-79.98153,NA,NA,town1n,3629448.169,595358.919,0.555,32.79886,-79.98153,0.026,32,91,54,46,48,56.5,NA,6.9615,2.7324,2.07,2.2272,2.957775,NA,433.8912,NA,NA,NA,NA,NA,NA,
town1o,7/20/2021,32.79866,-79.98172,NA,NA,town1o,3629425.822,595340.603,0.412,32.79866,-79.98172,0.02,21,123,146.5,149.5,102,100,NA,12.1647,16.898775,17.558775,8.5884,8.28,NA,1066.64292,NA,NA,NA,NA,NA,NA,
town1p,7/20/2021,32.79882,-79.98178,NA,NA,town1p,3629442.955,595335.258,0.553,32.79882,-79.98178,0.02,22,123,115,107,94,125,NA,12.1647,10.7295,9.3839,7.3884,12.5375,NA,918.7904,NA,NA,NA,NA,NA,NA,
town1q,7/20/2021,32.79883,-79.98178,NA,NA,town1q,3629444.878,595335.273,-0.193,32.79883,-79.98178,0.02,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,small creek
town1r,7/20/2021,32.79898,-79.98184,NA,NA,town1r,3629461.057,595329.765,0.38,32.79898,-79.98184,0.018,41,99,68,68,66,57,78,8.1279,4.1072,4.1072,3.894,3.0039,5.2572,762.27856,NA,NA,NA,NA,NA,NA,
town1s,7/20/2021,32.79935,-79.98206,NA,NA,town1s,3629501.987,595308.273,0.665,32.79935,-79.98206,0.018,29,41.5,19,23,36,31,NA,1.736775,0.4959,0.6647,1.368,1.0695,NA,123.7691,NA,NA,NA,NA,NA,NA,
town1t,7/20/2021,32.79945,-79.98216,NA,NA,town1t,3629513.013,595298.615,0.692,32.79945,-79.98216,0.018,3,25,21,21,NA,NA,NA,0.7575,0.5775,0.5775,,,NA,7.65,NA,NA,NA,NA,NA,NA,
town1u,7/20/2021,32.79972,-79.98228,NA,NA,town1u,3629543.11,595287.72,0.498,32.79972,-79.98228,0.017,19,161,94,91,122,116,55,20.2055,7.3884,6.9615,11.9804,10.904,2.8215,873.08496,NA,NA,NA,NA,NA,NA,
town1v,7/20/2021,32.80019,-79.98199,NA,NA,town1v,3629595.499,595314.527,0.664,32.80019,-79.98199,0.021,42,42,27,26.5,14,40,36,1.7724,0.8559,0.830775,0.3164,1.632,1.368,181.69116,NA,NA,NA,NA,NA,NA,
town1w,7/20/2021,32.80052,-79.98177,NA,NA,town1w,3629632.023,595334.024,0.847,32.80052,-79.98177,0.021,30,73,79,81,66,56,NA,4.6647,5.3799,5.6295,3.894,2.912,NA,539.5224,NA,NA,NA,NA,NA,NA,
town1x,7/20/2021,32.80084,-79.98133,NA,NA,town1x,3629667.638,595375.033,0.877,32.80084,-79.98133,0.022,30,69,69,73,71,56,NA,4.2159,4.2159,4.6647,4.4375,2.912,NA,490.704,NA,NA,NA,NA,NA,NA,
town1y,7/20/2021,32.80099,-79.98123,NA,NA,town1y,3629684.371,595384.289,0.453,32.80099,-79.98123,0.023,17,211,212,210,227,215,NA,33.8655,34.1744,33.558,38.9759,35.1095,NA,2389.29288,NA,NA,NA,NA,NA,NA,
town1z,7/20/2021,32.801,-79.9809,NA,NA,town1z,3629685.639,595415.193,0.714,32.801,-79.9809,0.024,28,51,40,17,33,38.5,40,2.4735,1.632,0.4199,1.1847,1.530375,1.632,162.18664,NA,NA,NA,NA,NA,NA,
mudflata,7/21/2021,32.79626,-79.98499,NA,NA,mudflata,3629157.133,595037.69,0.487,32.79626,-79.98499,0.025,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,NA,NA,NA,-367,6.66,30.8,
mudflatb,7/21/2021,32.79622,-79.98505,NA,NA,mudflatb,3629152.093,595031.655,0.508,32.79622,-79.98505,0.02,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,NA,NA,NA,-366,6.42,30.1,
mudflatc,7/21/2021,32.79618,-79.98512,NA,NA,mudflatc,3629147.219,595025.499,0.5,32.79618,-79.98512,0.019,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,NA,NA,NA,-351,6.72,32.2,
mudflatd,7/21/2021,32.79614,-79.98519,NA,NA,mudflatd,3629143.374,595018.437,0.52,32.79614,-79.98519,0.024,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,NA,NA,NA,-360,6.73,30.7,
mudflate,7/21/2021,32.79609,-79.98526,NA,NA,mudflate,3629138.107,595012.499,0.486,32.79609,-79.98526,0.018,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,NA,NA,NA,-362,6.68,32,
mudflatf,7/21/2021,32.79607,-79.98533,NA,NA,mudflatf,3629134.847,595005.309,0.47,32.79607,-79.98533,0.018,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,NA,NA,NA,-361,6.59,31.2,
mudflatg,7/21/2021,32.79605,-79.98542,NA,NA,mudflatg,3629132.659,594997.599,0.467,32.79605,-79.98542,0.038,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,NA,NA,NA,-362,6.6,31.8,
2020rep1a,7/21/2021,32.79652,-79.98464,NA,NA,2020rep1a,3629185.348,595069.998,0.427,32.79652,-79.98464,0.018,49,70,40.5,61,45,54,NA,4.326,1.666575,3.3855,1.9935,2.7324,NA,552.87582,25,9,present,NA,NA,NA,
2020rep1b,7/21/2021,32.79651,-79.98463,NA,NA,2020rep1b,3629184.464,595070.574,0.414,32.79651,-79.98463,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2020rep1c,7/21/2021,32.7965,-79.98462,NA,NA,2020rep1c,3629183.089,595072.044,0.437,32.7965,-79.98462,0.018,64,140,71,41,62.5,51.5,NA,15.512,4.4375,1.7015,3.534375,2.515775,NA,1418.29888,25,4,present,NA,NA,NA,
2020rep1d,7/21/2021,32.79649,-79.9846,NA,NA,2020rep1d,3629182.7,595073.371,0.426,32.79649,-79.9846,0.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2020rep1e,7/21/2021,32.79648,-79.9846,NA,NA,2020rep1e,3629181.804,595073.985,0.399,32.79648,-79.9846,0.017,38,72,36,46,42,45,NA,4.5504,1.368,2.07,1.7724,1.9935,NA,357.33072,35,1,absent,NA,NA,NA,
2020rep1f,7/21/2021,32.79644,-79.98461,NA,NA,2020rep1f,3629176.754,595073.146,0.397,32.79644,-79.98461,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2020rep1g,7/21/2021,32.79644,-79.98462,NA,NA,2020rep1g,3629177.097,595072.291,0.41,32.79644,-79.98462,0.019,41,74,49,39,68,70,NA,4.7804,2.3079,1.5639,4.1072,4.326,NA,560.40112,3,1,absent,NA,NA,NA,
2020rep1h,7/21/2021,32.79643,-79.98462,NA,NA,2020rep1h,3629176.312,595072.186,0.412,32.79643,-79.98462,0.019,52,63,60,68,42,43.5,NA,3.5847,3.288,4.1072,1.7724,1.881375,NA,608.76088,3,5,present,NA,NA,NA,
2020rep1i,7/21/2021,32.79642,-79.98462,NA,NA,2020rep1i,3629174.375,595071.538,0.398,32.79642,-79.98462,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2021rep2a,7/21/2021,32.79644,-79.98489,NA,NA,2021rep2a,3629176.642,595046.75,0.481,32.79644,-79.98489,0.023,9,30,48,22.5,15,45.5,NA,1.014,2.2272,0.642375,0.3495,2.031575,NA,45.10548,0,0,absent,NA,NA,NA,
2021rep2b,7/21/2021,32.79643,-79.98486,NA,NA,2021rep2b,3629175.364,595049.24,0.484,32.79643,-79.98486,0.019,11,54,34.5,28.5,33,31,NA,2.7324,1.274775,0.933375,1.1847,1.0695,NA,63.3138,0,0,absent,NA,NA,NA,
2021rep2c,7/21/2021,32.79641,-79.98484,NA,NA,2021rep2c,3629173.737,595051.668,0.495,32.79641,-79.98484,0.017,6,35.8,66,59,30,47.7,NA,1.355388,3.894,3.1919,1.014,2.203263,NA,55.9610448,0,0,absent,NA,NA,NA,
